epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,242.301,0.63116,0.84401,0.9969,0.42979,0.00999587,0.00333196,0.00999587,0.00333196,0.00999587,0.00333196,0.00999587,0.00333196
2,446.514,0.46283,0.8843,0.99855,0.36088,0.019336,0.00644534,0.019336,0.00644534,0.019336,0.00644534,0.019336,0.00644534
3,627.049,0.50825,0.85289,0.99711,0.43535,0.0280161,0.00933871,0.0280161,0.00933871,0.0280161,0.00933871,0.0280161,0.00933871
4,796.416,0.50457,0.89897,0.99897,0.30933,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,981.98,0.44807,0.89959,0.99979,0.30393,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,1161.57,0.40309,0.91343,0.99979,0.26611,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,1330.3,0.37871,0.9126,1,0.26406,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,1498.76,0.36454,0.91219,0.99917,0.26655,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,1667.38,0.3503,0.92087,0.99979,0.24197,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,1835.89,0.33733,0.91839,1,0.24088,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,2004.55,0.32598,0.92293,1,0.23081,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,2173.49,0.31928,0.92562,0.99938,0.21886,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,2342.29,0.30827,0.92769,0.99979,0.21724,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,2510.63,0.29937,0.92955,1,0.2064,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,2680.71,0.2957,0.93037,1,0.2082,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,2863.97,0.28997,0.92955,1,0.21005,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,3045.34,0.28173,0.93099,1,0.2038,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,3226.85,0.26882,0.93306,1,0.20172,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,3410.29,0.26598,0.93264,1,0.19939,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,3592.26,0.25864,0.9345,1,0.19444,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,3776.26,0.25178,0.93512,1,0.19217,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,3957.95,0.24489,0.93368,1,0.18894,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,4139.31,0.23869,0.93326,1,0.18626,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,4321.29,0.23004,0.93409,1,0.18413,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,4490.41,0.22067,0.93409,1,0.18575,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,4659.47,0.2121,0.93388,1,0.18312,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,4828.27,0.20824,0.93471,1,0.18065,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
