epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,257.812,0.62529,0.85826,0.99463,0.41916,0.0099969,0.0033323,0.0099969,0.0033323,0.0099969,0.0033323,0.0099969,0.0033323
2,462.866,0.43511,0.89897,0.99876,0.3072,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567
3,651.209,0.46778,0.88326,0.99938,0.34342,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904
4,836.492,0.46374,0.89545,0.99897,0.31701,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,1022.04,0.41558,0.90413,0.99979,0.28873,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,1220.62,0.37719,0.91074,0.99938,0.2696,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,1423.57,0.35425,0.91467,0.99959,0.25742,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,1623.99,0.33587,0.92273,0.99959,0.23034,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,1825.69,0.32651,0.92645,0.99979,0.22806,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,2026.76,0.31691,0.92934,1,0.21417,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,2226.61,0.30037,0.93058,0.99959,0.21522,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,2427.68,0.29213,0.93017,0.99959,0.20711,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,2628.41,0.28915,0.93409,0.99959,0.2029,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,2828.66,0.27422,0.93471,1,0.19537,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,3028.85,0.27121,0.93864,1,0.19056,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,3231.21,0.26342,0.93719,1,0.19039,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,3433.1,0.25307,0.93512,1,0.1913,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,3636.34,0.24791,0.93802,0.99979,0.18848,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,3831.9,0.24003,0.9407,1,0.17982,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,4016.71,0.23224,0.93926,1,0.17734,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,4202.33,0.2246,0.94112,1,0.1741,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,4387.25,0.21709,0.94174,1,0.17245,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,4573.03,0.21058,0.94236,1,0.1723,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,4759.2,0.20468,0.94318,1,0.17025,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,4944.45,0.19566,0.9436,1,0.16935,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,5128.29,0.18275,0.94421,1,0.16761,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,5313.09,0.17594,0.94401,1,0.16616,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,5498.61,0.17161,0.94442,1,0.16494,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,5683.55,0.16225,0.94442,1,0.16436,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,5869.02,0.15604,0.94463,1,0.16354,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
