experimento,arquitetura,conjunto,semente,split_protocol,receita,acuracia,macro_f1,tempo_treino_min,job_id
resolucao_224,EfficientNetB2,com_fundo,42,grouped,per_arch,92.46,85.34,74.11,resolucao_224_efficientnetb2_seed42
resolucao_224,EfficientNetB2,com_fundo,1337,grouped,per_arch,94.15,86.59,62.05,resolucao_224_efficientnetb2_seed1337
resolucao_224,EfficientNetB2,com_fundo,2026,grouped,per_arch,94.45,85.86,62.67,resolucao_224_efficientnetb2_seed2026
resolucao_224,EfficientNetB2,com_fundo,9001,grouped,per_arch,95.1,89.58,66.99,resolucao_224_efficientnetb2_seed9001
resolucao_224,EfficientNetB2,com_fundo,7,grouped,per_arch,94.75,87.49,96.02,resolucao_224_efficientnetb2_seed7
resolucao_224,EfficientNetB2,com_fundo,123,grouped,per_arch,95.11,89.59,80.81,resolucao_224_efficientnetb2_seed123
resolucao_224,EfficientNetB2,com_fundo,2024,grouped,per_arch,95.15,86.4,54.91,resolucao_224_efficientnetb2_seed2024
resolucao_224,EfficientNetB2,com_fundo,31337,grouped,per_arch,96.35,88.17,78.05,resolucao_224_efficientnetb2_seed31337
resolucao_224,EfficientNetB2,com_fundo,777,grouped,per_arch,94.94,87.94,41.94,resolucao_224_efficientnetb2_seed777
resolucao_224,EfficientNetB2,com_fundo,555,grouped,per_arch,97.18,93.1,111.75,resolucao_224_efficientnetb2_seed555
resolucao_224,EfficientNetB3,com_fundo,42,grouped,per_arch,93.61,87.6,117.31,resolucao_224_efficientnetb3_seed42
resolucao_224,EfficientNetB3,com_fundo,1337,grouped,per_arch,92.74,82.68,87.34,resolucao_224_efficientnetb3_seed1337
resolucao_224,EfficientNetB3,com_fundo,2026,grouped,per_arch,93.66,84.68,84.0,resolucao_224_efficientnetb3_seed2026
resolucao_224,EfficientNetB3,com_fundo,9001,grouped,per_arch,95.63,90.18,152.43,resolucao_224_efficientnetb3_seed9001
resolucao_224,EfficientNetB3,com_fundo,7,grouped,per_arch,93.05,87.08,139.14,resolucao_224_efficientnetb3_seed7
resolucao_224,EfficientNetB3,com_fundo,123,grouped,per_arch,91.36,84.42,107.18,resolucao_224_efficientnetb3_seed123
resolucao_224,EfficientNetB3,com_fundo,2024,grouped,per_arch,94.92,85.13,111.44,resolucao_224_efficientnetb3_seed2024
resolucao_224,EfficientNetB3,com_fundo,31337,grouped,per_arch,96.17,87.3,127.99,resolucao_224_efficientnetb3_seed31337
resolucao_224,EfficientNetB3,com_fundo,777,grouped,per_arch,93.62,86.14,59.28,resolucao_224_efficientnetb3_seed777
resolucao_224,EfficientNetB3,com_fundo,555,grouped,per_arch,96.94,92.53,158.67,resolucao_224_efficientnetb3_seed555
