experimento,arquitetura,conjunto,semente,split_protocol,receita,acuracia,macro_f1,tempo_treino_min,job_id
bloco13_best_candidate_com_fundo_seed42,MobileNetV3,com_fundo,42,,,97.17,92.7,52.87,bloco13_mobilenetv3_com_fundo_best_candidate_seed42
bloco13_best_candidate_com_fundo_seed1337,MobileNetV3,com_fundo,1337,,,97.94,93.36,58.59,bloco13_mobilenetv3_com_fundo_best_candidate_seed1337
bloco13_best_candidate_com_fundo_seed2026,MobileNetV3,com_fundo,2026,,,97.73,93.79,68.56,bloco13_mobilenetv3_com_fundo_best_candidate_seed2026
bloco13_best_candidate_com_fundo_seed9001,MobileNetV3,com_fundo,9001,,,97.73,94.16,38.82,bloco13_mobilenetv3_com_fundo_best_candidate_seed9001
bloco13_best_candidate_com_fundo_seed42,EfficientNetB0,com_fundo,42,,,97.44,93.1,81.79,bloco13_efficientnetb0_com_fundo_best_candidate_seed42
bloco13_best_candidate_com_fundo_seed1337,EfficientNetB0,com_fundo,1337,,,97.63,92.42,81.16,bloco13_efficientnetb0_com_fundo_best_candidate_seed1337
bloco13_best_candidate_com_fundo_seed2026,EfficientNetB0,com_fundo,2026,,,97.27,92.57,74.56,bloco13_efficientnetb0_com_fundo_best_candidate_seed2026
bloco13_best_candidate_com_fundo_seed9001,EfficientNetB0,com_fundo,9001,,,97.81,94.54,74.09,bloco13_efficientnetb0_com_fundo_best_candidate_seed9001
bloco13_best_candidate_com_fundo_seed42,EfficientNetB2,com_fundo,42,,,97.71,93.18,133.7,bloco13_efficientnetb2_com_fundo_best_candidate_seed42
bloco13_best_candidate_com_fundo_seed1337,EfficientNetB2,com_fundo,1337,,,97.67,93.08,135.3,bloco13_efficientnetb2_com_fundo_best_candidate_seed1337
bloco13_best_candidate_com_fundo_seed2026,EfficientNetB2,com_fundo,2026,,,97.5,93.8,127.9,bloco13_efficientnetb2_com_fundo_best_candidate_seed2026
bloco13_best_candidate_com_fundo_seed9001,EfficientNetB2,com_fundo,9001,,,97.36,93.72,78.06,bloco13_efficientnetb2_com_fundo_best_candidate_seed9001
bloco13_best_candidate_com_fundo_seed42,EfficientNetB3,com_fundo,42,,,97.48,92.48,195.37,bloco13_efficientnetb3_com_fundo_best_candidate_seed42
bloco13_best_candidate_com_fundo_seed1337,EfficientNetB3,com_fundo,1337,,,97.44,92.82,195.54,bloco13_efficientnetb3_com_fundo_best_candidate_seed1337
bloco13_best_candidate_com_fundo_seed2026,EfficientNetB3,com_fundo,2026,,,97.15,92.09,196.62,bloco13_efficientnetb3_com_fundo_best_candidate_seed2026
bloco13_best_candidate_com_fundo_seed9001,EfficientNetB3,com_fundo,9001,,,97.77,94.33,192.93,bloco13_efficientnetb3_com_fundo_best_candidate_seed9001
bloco13_best_candidate_com_fundo_seed42,ResNet50,com_fundo,42,,,98.08,94.2,102.42,bloco13_resnet50_com_fundo_best_candidate_seed42
bloco13_best_candidate_com_fundo_seed1337,ResNet50,com_fundo,1337,,,97.86,93.09,78.17,bloco13_resnet50_com_fundo_best_candidate_seed1337
bloco13_best_candidate_com_fundo_seed2026,ResNet50,com_fundo,2026,,,97.4,94.67,97.01,bloco13_resnet50_com_fundo_best_candidate_seed2026
bloco13_best_candidate_com_fundo_seed9001,ResNet50,com_fundo,9001,,,97.73,94.96,69.03,bloco13_resnet50_com_fundo_best_candidate_seed9001
bloco13_best_candidate_com_fundo_seed42,ConvNeXtTiny,com_fundo,42,,,98.36,94.9,101.42,bloco13_convnexttiny_com_fundo_best_candidate_seed42
bloco13_best_candidate_com_fundo_seed1337,ConvNeXtTiny,com_fundo,1337,,,98.31,94.56,93.86,bloco13_convnexttiny_com_fundo_best_candidate_seed1337
bloco13_best_candidate_com_fundo_seed2026,ConvNeXtTiny,com_fundo,2026,,,98.44,95.59,100.85,bloco13_convnexttiny_com_fundo_best_candidate_seed2026
bloco13_best_candidate_com_fundo_seed9001,ConvNeXtTiny,com_fundo,9001,,,98.42,95.74,73.23,bloco13_convnexttiny_com_fundo_best_candidate_seed9001
bloco13_best_candidate_com_fundo_seed7,ConvNeXtTiny,com_fundo,7,,,98.15,93.8,105.16,bloco13_convnexttiny_com_fundo_best_candidate_seed7
bloco13_best_candidate_com_fundo_seed123,ConvNeXtTiny,com_fundo,123,,,98.38,93.81,94.09,bloco13_convnexttiny_com_fundo_best_candidate_seed123
bloco13_best_candidate_com_fundo_seed2024,ConvNeXtTiny,com_fundo,2024,,,98.48,94.15,105.34,bloco13_convnexttiny_com_fundo_best_candidate_seed2024
bloco13_best_candidate_com_fundo_seed31337,ConvNeXtTiny,com_fundo,31337,,,98.11,94.32,112.58,bloco13_convnexttiny_com_fundo_best_candidate_seed31337
bloco13_best_candidate_com_fundo_seed777,ConvNeXtTiny,com_fundo,777,,,97.96,92.43,104.61,bloco13_convnexttiny_com_fundo_best_candidate_seed777
bloco13_best_candidate_com_fundo_seed555,ConvNeXtTiny,com_fundo,555,,,98.29,94.82,97.01,bloco13_convnexttiny_com_fundo_best_candidate_seed555
bloco13_best_candidate_com_fundo_seed7,ResNet50,com_fundo,7,,,97.94,94.67,106.45,bloco13_resnet50_com_fundo_best_candidate_seed7
bloco13_best_candidate_com_fundo_seed123,ResNet50,com_fundo,123,,,98.23,94.26,105.73,bloco13_resnet50_com_fundo_best_candidate_seed123
bloco13_best_candidate_com_fundo_seed2024,ResNet50,com_fundo,2024,,,97.73,93.15,94.65,bloco13_resnet50_com_fundo_best_candidate_seed2024
bloco13_best_candidate_com_fundo_seed31337,ResNet50,com_fundo,31337,,,98.06,94.32,94.53,bloco13_resnet50_com_fundo_best_candidate_seed31337
bloco13_best_candidate_com_fundo_seed777,ResNet50,com_fundo,777,,,98.04,94.96,94.74,bloco13_resnet50_com_fundo_best_candidate_seed777
bloco13_best_candidate_com_fundo_seed555,ResNet50,com_fundo,555,,,98.04,93.76,69.02,bloco13_resnet50_com_fundo_best_candidate_seed555
bloco13_best_candidate_com_fundo_seed7,MobileNetV3,com_fundo,7,,,97.58,93.28,70.57,bloco13_mobilenetv3_com_fundo_best_candidate_seed7
bloco13_best_candidate_com_fundo_seed123,MobileNetV3,com_fundo,123,,,97.94,93.58,70.24,bloco13_mobilenetv3_com_fundo_best_candidate_seed123
bloco13_best_candidate_com_fundo_seed2024,MobileNetV3,com_fundo,2024,,,97.61,92.31,65.58,bloco13_mobilenetv3_com_fundo_best_candidate_seed2024
bloco13_best_candidate_com_fundo_seed31337,MobileNetV3,com_fundo,31337,,,97.25,94.13,58.48,bloco13_mobilenetv3_com_fundo_best_candidate_seed31337
bloco13_best_candidate_com_fundo_seed777,MobileNetV3,com_fundo,777,,,97.79,94.5,70.1,bloco13_mobilenetv3_com_fundo_best_candidate_seed777
bloco13_best_candidate_com_fundo_seed555,MobileNetV3,com_fundo,555,,,97.81,93.52,70.29,bloco13_mobilenetv3_com_fundo_best_candidate_seed555
bloco13_best_candidate_com_fundo_seed7,EfficientNetB3,com_fundo,7,,,96.31,90.36,122.44,bloco13_efficientnetb3_com_fundo_best_candidate_seed7
bloco13_best_candidate_com_fundo_seed123,EfficientNetB3,com_fundo,123,,,97.21,92.24,171.52,bloco13_efficientnetb3_com_fundo_best_candidate_seed123
bloco13_best_candidate_com_fundo_seed2024,EfficientNetB3,com_fundo,2024,,,97.44,91.88,146.79,bloco13_efficientnetb3_com_fundo_best_candidate_seed2024
bloco13_best_candidate_com_fundo_seed31337,EfficientNetB3,com_fundo,31337,,,97.04,92.43,184.62,bloco13_efficientnetb3_com_fundo_best_candidate_seed31337
bloco13_best_candidate_com_fundo_seed777,EfficientNetB3,com_fundo,777,,,96.92,91.93,183.17,bloco13_efficientnetb3_com_fundo_best_candidate_seed777
bloco13_best_candidate_com_fundo_seed555,EfficientNetB3,com_fundo,555,,,97.86,92.93,163.04,bloco13_efficientnetb3_com_fundo_best_candidate_seed555
bloco13_best_candidate_com_fundo_seed7,EfficientNetB0,com_fundo,7,,,96.81,91.01,52.12,bloco13_efficientnetb0_com_fundo_best_candidate_seed7
bloco13_best_candidate_com_fundo_seed123,EfficientNetB0,com_fundo,123,,,97.52,93.0,70.76,bloco13_efficientnetb0_com_fundo_best_candidate_seed123
bloco13_best_candidate_com_fundo_seed2024,EfficientNetB0,com_fundo,2024,,,97.46,92.48,87.1,bloco13_efficientnetb0_com_fundo_best_candidate_seed2024
bloco13_best_candidate_com_fundo_seed31337,EfficientNetB0,com_fundo,31337,,,97.5,94.72,94.18,bloco13_efficientnetb0_com_fundo_best_candidate_seed31337
bloco13_best_candidate_com_fundo_seed777,EfficientNetB0,com_fundo,777,,,97.17,93.83,95.9,bloco13_efficientnetb0_com_fundo_best_candidate_seed777
bloco13_best_candidate_com_fundo_seed555,EfficientNetB0,com_fundo,555,,,97.88,94.13,90.38,bloco13_efficientnetb0_com_fundo_best_candidate_seed555
bloco13_best_candidate_com_fundo_seed7,EfficientNetB2,com_fundo,7,,,97.71,93.36,137.72,bloco13_efficientnetb2_com_fundo_best_candidate_seed7
bloco13_best_candidate_com_fundo_seed123,EfficientNetB2,com_fundo,123,,,97.58,92.37,86.9,bloco13_efficientnetb2_com_fundo_best_candidate_seed123
bloco13_best_candidate_com_fundo_seed2024,EfficientNetB2,com_fundo,2024,,,97.44,92.87,79.23,bloco13_efficientnetb2_com_fundo_best_candidate_seed2024
bloco13_best_candidate_com_fundo_seed31337,EfficientNetB2,com_fundo,31337,,,97.19,93.46,97.53,bloco13_efficientnetb2_com_fundo_best_candidate_seed31337
bloco13_best_candidate_com_fundo_seed777,EfficientNetB2,com_fundo,777,,,97.42,93.73,132.42,bloco13_efficientnetb2_com_fundo_best_candidate_seed777
bloco13_best_candidate_com_fundo_seed555,EfficientNetB2,com_fundo,555,,,97.79,92.68,132.39,bloco13_efficientnetb2_com_fundo_best_candidate_seed555
