experimento,arquitetura,conjunto,semente,split_protocol,receita,acuracia,macro_f1,tempo_treino_min,job_id
particao_x_semente,ResNet50,com_fundo,101,grouped,per_arch,94.96,90.64,49.58,particao_x_semente_resnet50_part42_seed101
particao_x_semente,ResNet50,com_fundo,202,grouped,per_arch,94.39,88.31,80.5,particao_x_semente_resnet50_part42_seed202
particao_x_semente,ResNet50,com_fundo,303,grouped,per_arch,93.96,86.5,70.99,particao_x_semente_resnet50_part42_seed303
particao_x_semente,ResNet50,com_fundo,404,grouped,per_arch,94.51,88.48,52.56,particao_x_semente_resnet50_part42_seed404
particao_x_semente,ResNet50,com_fundo,101,grouped,per_arch,92.84,84.99,36.0,particao_x_semente_resnet50_part1337_seed101
particao_x_semente,ResNet50,com_fundo,202,grouped,per_arch,94.59,88.82,52.98,particao_x_semente_resnet50_part1337_seed202
particao_x_semente,ResNet50,com_fundo,303,grouped,per_arch,94.91,88.66,49.57,particao_x_semente_resnet50_part1337_seed303
particao_x_semente,ResNet50,com_fundo,404,grouped,per_arch,89.77,84.82,51.66,particao_x_semente_resnet50_part1337_seed404
particao_x_semente,ResNet50,com_fundo,101,grouped,per_arch,94.65,87.12,49.24,particao_x_semente_resnet50_part2026_seed101
particao_x_semente,ResNet50,com_fundo,202,grouped,per_arch,94.26,86.24,47.76,particao_x_semente_resnet50_part2026_seed202
particao_x_semente,ResNet50,com_fundo,303,grouped,per_arch,93.31,87.16,49.01,particao_x_semente_resnet50_part2026_seed303
particao_x_semente,ResNet50,com_fundo,404,grouped,per_arch,93.78,84.65,64.48,particao_x_semente_resnet50_part2026_seed404
particao_x_semente,ResNet50,com_fundo,101,grouped,per_arch,96.74,92.35,105.31,particao_x_semente_resnet50_part9001_seed101
particao_x_semente,ResNet50,com_fundo,202,grouped,per_arch,97.12,93.35,98.94,particao_x_semente_resnet50_part9001_seed202
particao_x_semente,ResNet50,com_fundo,303,grouped,per_arch,96.61,92.84,63.23,particao_x_semente_resnet50_part9001_seed303
particao_x_semente,ResNet50,com_fundo,404,grouped,per_arch,96.53,92.13,79.57,particao_x_semente_resnet50_part9001_seed404
particao_x_semente,ResNet50,com_fundo,101,grouped,per_arch,92.95,85.85,66.35,particao_x_semente_resnet50_part7_seed101
particao_x_semente,ResNet50,com_fundo,202,grouped,per_arch,94.52,86.73,82.94,particao_x_semente_resnet50_part7_seed202
particao_x_semente,ResNet50,com_fundo,303,grouped,per_arch,94.69,86.79,102.39,particao_x_semente_resnet50_part7_seed303
particao_x_semente,ResNet50,com_fundo,404,grouped,per_arch,94.24,87.04,70.84,particao_x_semente_resnet50_part7_seed404
particao_x_semente,MobileNetV3,com_fundo,101,grouped,per_arch,93.73,89.05,42.63,particao_x_semente_mobilenetv3_part42_seed101
particao_x_semente,MobileNetV3,com_fundo,202,grouped,per_arch,94.78,89.42,48.36,particao_x_semente_mobilenetv3_part42_seed202
particao_x_semente,MobileNetV3,com_fundo,303,grouped,per_arch,94.41,88.04,43.05,particao_x_semente_mobilenetv3_part42_seed303
particao_x_semente,MobileNetV3,com_fundo,404,grouped,per_arch,93.01,86.83,53.29,particao_x_semente_mobilenetv3_part42_seed404
particao_x_semente,MobileNetV3,com_fundo,101,grouped,per_arch,94.87,86.63,58.23,particao_x_semente_mobilenetv3_part1337_seed101
particao_x_semente,MobileNetV3,com_fundo,202,grouped,per_arch,94.57,85.53,67.09,particao_x_semente_mobilenetv3_part1337_seed202
particao_x_semente,MobileNetV3,com_fundo,303,grouped,per_arch,94.54,86.53,50.92,particao_x_semente_mobilenetv3_part1337_seed303
particao_x_semente,MobileNetV3,com_fundo,404,grouped,per_arch,94.18,84.73,42.55,particao_x_semente_mobilenetv3_part1337_seed404
particao_x_semente,MobileNetV3,com_fundo,101,grouped,per_arch,93.94,85.68,36.64,particao_x_semente_mobilenetv3_part2026_seed101
particao_x_semente,MobileNetV3,com_fundo,202,grouped,per_arch,93.29,86.95,45.09,particao_x_semente_mobilenetv3_part2026_seed202
particao_x_semente,MobileNetV3,com_fundo,303,grouped,per_arch,93.7,84.96,29.34,particao_x_semente_mobilenetv3_part2026_seed303
particao_x_semente,MobileNetV3,com_fundo,404,grouped,per_arch,94.43,84.96,40.64,particao_x_semente_mobilenetv3_part2026_seed404
particao_x_semente,MobileNetV3,com_fundo,101,grouped,per_arch,96.18,90.97,40.98,particao_x_semente_mobilenetv3_part9001_seed101
particao_x_semente,MobileNetV3,com_fundo,202,grouped,per_arch,96.37,92.61,36.07,particao_x_semente_mobilenetv3_part9001_seed202
particao_x_semente,MobileNetV3,com_fundo,303,grouped,per_arch,95.37,91.38,31.57,particao_x_semente_mobilenetv3_part9001_seed303
particao_x_semente,MobileNetV3,com_fundo,404,grouped,per_arch,96.01,90.36,41.91,particao_x_semente_mobilenetv3_part9001_seed404
particao_x_semente,MobileNetV3,com_fundo,101,grouped,per_arch,94.96,87.44,52.69,particao_x_semente_mobilenetv3_part7_seed101
particao_x_semente,MobileNetV3,com_fundo,202,grouped,per_arch,94.28,87.3,62.38,particao_x_semente_mobilenetv3_part7_seed202
particao_x_semente,MobileNetV3,com_fundo,303,grouped,per_arch,94.5,86.75,52.46,particao_x_semente_mobilenetv3_part7_seed303
particao_x_semente,MobileNetV3,com_fundo,404,grouped,per_arch,94.42,88.05,52.91,particao_x_semente_mobilenetv3_part7_seed404
